,precision,recall,f1-score,support
pull through,0.0,0.0,0.0,123.0
placing rings,0.0324,1.0,0.0627,142.0
suture pick up,0.0,0.0,0.0,249.0
suture pull through,0.0,0.0,0.0,220.0
suture tie,0.0,0.0,0.0,781.0
uva pick up,0.0,0.0,0.0,1486.0
uva pull through,0.0,0.0,0.0,611.0
uva tie,0.0,0.0,0.0,354.0
placing rings 2 arms,0.0,0.0,0.0,25.0
1 arm placing,0.0,0.0,0.0,87.0
2 arms placing,0.0,0.0,0.0,271.0
pull off,0.0,0.0,0.0,50.0
accuracy,0.0323,0.0323,0.0323,0.0323
macro avg,0.0027,0.0833,0.0052,4399.0
weighted avg,0.001,0.0323,0.002,4399.0
